date,base_currency,quote_currency,rate
2026-03-01,EUR,EUR,1.0
2026-03-01,EUR,USD,1.180572
2026-03-01,EUR,GBP,0.875241
2026-03-01,EUR,JPY,184.231343
2026-03-01,EUR,CHF,0.908333
2026-03-01,EUR,AUD,1.657944
2026-03-01,EUR,CAD,1.610839
2026-03-01,EUR,NOK,11.228189
2026-03-01,EUR,SEK,10.661571
2026-03-01,EUR,CNY,8.096589
2026-03-01,EUR,MXN,20.329311
2026-03-01,USD,EUR,0.847047
2026-03-01,USD,USD,1.0
2026-03-01,USD,GBP,0.741371
2026-03-01,USD,JPY,156.052625
2026-03-01,USD,CHF,0.769401
2026-03-01,USD,AUD,1.404356
2026-03-01,USD,CAD,1.364456
2026-03-01,USD,NOK,9.510805
2026-03-01,USD,SEK,9.030853
2026-03-01,USD,CNY,6.858193
2026-03-01,USD,MXN,17.219884
2026-03-01,GBP,EUR,1.142542
2026-03-01,GBP,USD,1.348853
2026-03-01,GBP,GBP,1.0
2026-03-01,GBP,JPY,210.492056
2026-03-01,GBP,CHF,1.037809
2026-03-01,GBP,AUD,1.89427
2026-03-01,GBP,CAD,1.840451
2026-03-01,GBP,NOK,12.828678
2026-03-01,GBP,SEK,12.181293
2026-03-01,GBP,CNY,9.250694
2026-03-01,GBP,MXN,23.227093
2026-03-01,JPY,EUR,0.005428
2026-03-01,JPY,USD,0.006408
2026-03-01,JPY,GBP,0.004751
2026-03-01,JPY,JPY,1.0
2026-03-01,JPY,CHF,0.00493
2026-03-01,JPY,AUD,0.008999
2026-03-01,JPY,CAD,0.008744
2026-03-01,JPY,NOK,0.060946
2026-03-01,JPY,SEK,0.057871
2026-03-01,JPY,CNY,0.043948
2026-03-01,JPY,MXN,0.110347
2026-03-01,CHF,EUR,1.100917
2026-03-01,CHF,USD,1.299712
2026-03-01,CHF,GBP,0.963568
2026-03-01,CHF,JPY,202.823482
2026-03-01,CHF,CHF,1.0
2026-03-01,CHF,AUD,1.825259
2026-03-01,CHF,CAD,1.7734
2026-03-01,CHF,NOK,12.361308
2026-03-01,CHF,SEK,11.737509
2026-03-01,CHF,CNY,8.913676
2026-03-01,CHF,MXN,22.380891
2026-03-01,AUD,EUR,0.603157
2026-03-01,AUD,USD,0.71207
2026-03-01,AUD,GBP,0.527908
2026-03-01,AUD,JPY,111.120393
2026-03-01,AUD,CHF,0.547867
2026-03-01,AUD,AUD,1.0
2026-03-01,AUD,CAD,0.971588
2026-03-01,AUD,NOK,6.772359
2026-03-01,AUD,SEK,6.4306
2026-03-01,AUD,CNY,4.883513
2026-03-01,AUD,MXN,12.261763
2026-03-01,CAD,EUR,0.620795
2026-03-01,CAD,USD,0.732893
2026-03-01,CAD,GBP,0.543345
2026-03-01,CAD,JPY,114.369832
2026-03-01,CAD,CHF,0.563889
2026-03-01,CAD,AUD,1.029243
2026-03-01,CAD,CAD,1.0
2026-03-01,CAD,NOK,6.970399
2026-03-01,CAD,SEK,6.618646
2026-03-01,CAD,CNY,5.026319
2026-03-01,CAD,MXN,12.620327
2026-03-01,NOK,EUR,0.089062
2026-03-01,NOK,USD,0.105144
2026-03-01,NOK,GBP,0.07795
2026-03-01,NOK,JPY,16.407931
2026-03-01,NOK,CHF,0.080898
2026-03-01,NOK,AUD,0.147659
2026-03-01,NOK,CAD,0.143464
2026-03-01,NOK,NOK,1.0
2026-03-01,NOK,SEK,0.949536
2026-03-01,NOK,CNY,0.721095
2026-03-01,NOK,MXN,1.81056
2026-03-01,SEK,EUR,0.093795
2026-03-01,SEK,USD,0.110732
2026-03-01,SEK,GBP,0.082093
2026-03-01,SEK,JPY,17.279943
2026-03-01,SEK,CHF,0.085197
2026-03-01,SEK,AUD,0.155506
2026-03-01,SEK,CAD,0.151088
2026-03-01,SEK,NOK,1.053146
2026-03-01,SEK,SEK,1.0
2026-03-01,SEK,CNY,0.759418
2026-03-01,SEK,MXN,1.906784
2026-03-01,CNY,EUR,0.123509
2026-03-01,CNY,USD,0.145811
2026-03-01,CNY,GBP,0.1081
2026-03-01,CNY,JPY,22.754191
2026-03-01,CNY,CHF,0.112187
2026-03-01,CNY,AUD,0.204771
2026-03-01,CNY,CAD,0.198953
2026-03-01,CNY,NOK,1.38678
2026-03-01,CNY,SEK,1.316798
2026-03-01,CNY,CNY,1.0
2026-03-01,CNY,MXN,2.510849
2026-03-01,MXN,EUR,0.04919
2026-03-01,MXN,USD,0.058072
2026-03-01,MXN,GBP,0.043053
2026-03-01,MXN,JPY,9.062351
2026-03-01,MXN,CHF,0.044681
2026-03-01,MXN,AUD,0.081554
2026-03-01,MXN,CAD,0.079237
2026-03-01,MXN,NOK,0.552315
2026-03-01,MXN,SEK,0.524443
2026-03-01,MXN,CNY,0.398272
2026-03-01,MXN,MXN,1.0
