date,base_currency,quote_currency,rate
2026-03-05,EUR,EUR,1.0
2026-03-05,EUR,USD,1.159866
2026-03-05,EUR,GBP,0.869912
2026-03-05,EUR,JPY,182.725486
2026-03-05,EUR,CHF,0.906852
2026-03-05,EUR,AUD,1.654396
2026-03-05,EUR,CAD,1.587397
2026-03-05,EUR,NOK,11.236542
2026-03-05,EUR,SEK,10.768122
2026-03-05,EUR,CNY,8.027204
2026-03-05,EUR,MXN,20.531107
2026-03-05,USD,EUR,0.862169
2026-03-05,USD,USD,1.0
2026-03-05,USD,GBP,0.75001
2026-03-05,USD,JPY,157.540184
2026-03-05,USD,CHF,0.78186
2026-03-05,USD,AUD,1.426368
2026-03-05,USD,CAD,1.368604
2026-03-05,USD,NOK,9.687794
2026-03-05,USD,SEK,9.283937
2026-03-05,USD,CNY,6.920804
2026-03-05,USD,MXN,17.701277
2026-03-05,GBP,EUR,1.149542
2026-03-05,GBP,USD,1.333315
2026-03-05,GBP,GBP,1.0
2026-03-05,GBP,JPY,210.050644
2026-03-05,GBP,CHF,1.042465
2026-03-05,GBP,AUD,1.901798
2026-03-05,GBP,CAD,1.82478
2026-03-05,GBP,NOK,12.916879
2026-03-05,GBP,SEK,12.37841
2026-03-05,GBP,CNY,9.227609
2026-03-05,GBP,MXN,23.601373
2026-03-05,JPY,EUR,0.005473
2026-03-05,JPY,USD,0.006348
2026-03-05,JPY,GBP,0.004761
2026-03-05,JPY,JPY,1.0
2026-03-05,JPY,CHF,0.004963
2026-03-05,JPY,AUD,0.009054
2026-03-05,JPY,CAD,0.008687
2026-03-05,JPY,NOK,0.061494
2026-03-05,JPY,SEK,0.058931
2026-03-05,JPY,CNY,0.04393
2026-03-05,JPY,MXN,0.11236
2026-03-05,CHF,EUR,1.102715
2026-03-05,CHF,USD,1.279002
2026-03-05,CHF,GBP,0.959265
2026-03-05,CHF,JPY,201.494168
2026-03-05,CHF,CHF,1.0
2026-03-05,CHF,AUD,1.824327
2026-03-05,CHF,CAD,1.750447
2026-03-05,CHF,NOK,12.390706
2026-03-05,CHF,SEK,11.874172
2026-03-05,CHF,CNY,8.85172
2026-03-05,CHF,MXN,22.639963
2026-03-05,AUD,EUR,0.60445
2026-03-05,AUD,USD,0.701081
2026-03-05,AUD,GBP,0.525818
2026-03-05,AUD,JPY,110.448464
2026-03-05,AUD,CHF,0.548147
2026-03-05,AUD,AUD,1.0
2026-03-05,AUD,CAD,0.959503
2026-03-05,AUD,NOK,6.791931
2026-03-05,AUD,SEK,6.508794
2026-03-05,AUD,CNY,4.852045
2026-03-05,AUD,MXN,12.410033
2026-03-05,CAD,EUR,0.629962
2026-03-05,CAD,USD,0.730672
2026-03-05,CAD,GBP,0.548011
2026-03-05,CAD,JPY,115.110123
2026-03-05,CAD,CHF,0.571283
2026-03-05,CAD,AUD,1.042207
2026-03-05,CAD,CAD,1.0
2026-03-05,CAD,NOK,7.078595
2026-03-05,CAD,SEK,6.783508
2026-03-05,CAD,CNY,5.056834
2026-03-05,CAD,MXN,12.933818
2026-03-05,NOK,EUR,0.088995
2026-03-05,NOK,USD,0.103223
2026-03-05,NOK,GBP,0.077418
2026-03-05,NOK,JPY,16.261719
2026-03-05,NOK,CHF,0.080706
2026-03-05,NOK,AUD,0.147234
2026-03-05,NOK,CAD,0.141271
2026-03-05,NOK,NOK,1.0
2026-03-05,NOK,SEK,0.958313
2026-03-05,NOK,CNY,0.714384
2026-03-05,NOK,MXN,1.827173
2026-03-05,SEK,EUR,0.092867
2026-03-05,SEK,USD,0.107713
2026-03-05,SEK,GBP,0.080786
2026-03-05,SEK,JPY,16.969113
2026-03-05,SEK,CHF,0.084216
2026-03-05,SEK,AUD,0.153638
2026-03-05,SEK,CAD,0.147416
2026-03-05,SEK,NOK,1.043501
2026-03-05,SEK,SEK,1.0
2026-03-05,SEK,CNY,0.74546
2026-03-05,SEK,MXN,1.906656
2026-03-05,CNY,EUR,0.124576
2026-03-05,CNY,USD,0.144492
2026-03-05,CNY,GBP,0.10837
2026-03-05,CNY,JPY,22.763279
2026-03-05,CNY,CHF,0.112972
2026-03-05,CNY,AUD,0.206099
2026-03-05,CNY,CAD,0.197752
2026-03-05,CNY,NOK,1.399808
2026-03-05,CNY,SEK,1.341454
2026-03-05,CNY,CNY,1.0
2026-03-05,CNY,MXN,2.557691
2026-03-05,MXN,EUR,0.048707
2026-03-05,MXN,USD,0.056493
2026-03-05,MXN,GBP,0.04237
2026-03-05,MXN,JPY,8.899933
2026-03-05,MXN,CHF,0.04417
2026-03-05,MXN,AUD,0.08058
2026-03-05,MXN,CAD,0.077317
2026-03-05,MXN,NOK,0.547294
2026-03-05,MXN,SEK,0.524478
2026-03-05,MXN,CNY,0.390978
2026-03-05,MXN,MXN,1.0
